A,B
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
