A,B,,,
dip,WithCOV,,,
dip,WithCOV,,nondip,WOCOV
dip,WithCOV,,,
dip,WithCOV,,nondip,WithCOV
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WithCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
dip,WOCOV,,,
