A,B
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
dip,WithCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
nondip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
dip,WOCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
nondip,WithCOV
